COUNTRY_NAME_EN,INDICATOR_LABEL_EN,COUNT(*)
Sweden,GDP (current US$),1
Sweden,GDP deflator (base year varies by country),1
Sweden,GDP growth (annual %),1
Sweden,GDP per capita (current LCU),1
Sweden,GDP per capita (current US$),1
Sweden,"GDP per capita, PPP (constant 2011 international $)",1
Sweden,"GDP per capita, PPP (current international $)",1
Sweden,"GDP, PPP (constant 2011 international $)",1
Sweden,"GDP, PPP (current international $)",1
Sweden,GNI (current LCU),1
Sweden,GNI per capita (current LCU),1
Sweden,"GNI per capita, Atlas method (current US$)",1
Sweden,"GNI per capita, PPP (current international $)",1
Sweden,General government total expenditure (current LCU),1
Sweden,"Official exchange rate (LCU per US$, period average)",1
Sweden,"PPP conversion factor, GDP (LCU per international $)",1
Sweden,"PPP conversion factor, private consumption (LCU per international $)",1
Sweden,Population aged 14 years or younger (thousands),1
Sweden,Population aged 15-24 years (thousands),1
Sweden,Population aged 25-64 years (thousands) ,1
Sweden,Population aged 65 years or older (thousands),1
Sweden,Population growth (annual %),1
Sweden,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
Sweden,Rural population (% of total population),1
Sweden,Total population (thousands),1
United States of America,GDP (constant LCU),1
United States of America,GDP (current LCU),1
United States of America,GDP (current US$),1
United States of America,GDP deflator (base year varies by country),1
United States of America,GDP growth (annual %),1
United States of America,GDP per capita (current LCU),1
United States of America,GDP per capita (current US$),1
United States of America,"GDP per capita, PPP (constant 2011 international $)",1
United States of America,"GDP per capita, PPP (current international $)",1
United States of America,"GDP, PPP (constant 2011 international $)",1
United States of America,"GDP, PPP (current international $)",1
United States of America,GNI (current LCU),1
United States of America,GNI per capita (current LCU),1
United States of America,"GNI per capita, Atlas method (current US$)",1
United States of America,"GNI per capita, PPP (current international $)",1
United States of America,General government total expenditure (current LCU),1
United States of America,"Official exchange rate (LCU per US$, period average)",1
United States of America,"PPP conversion factor, GDP (LCU per international $)",1
United States of America,"PPP conversion factor, private consumption (LCU per international $)",1
United States of America,Population growth (annual %),1
United States of America,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1
United States of America,Rural population (% of total population),1
